hostName,hostname,name,mgmtIP,mgmtIp,managementIP,interfaceTypes,vrfNames,routingProtocols,subTypeName
,,DDC1-IDFA1-LSW7,10.254.146.200,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFA1-LSW8,10.254.146.201,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFA1-LSW9,10.254.118.10,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFA1-MSW1,10.254.146.100,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW10,10.254.146.65,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW11,10.254.146.57,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW12,10.254.146.125,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW13,10.254.146.58,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW14,10.254.146.196,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW15,10.254.146.202,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW16,10.254.146.112,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW2,10.254.146.105,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW3,10.254.146.126,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW4,10.254.146.154,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW5,10.254.146.120,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW6,10.254.146.121,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW7,10.254.146.223,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW8,10.254.146.11,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-MSW9,10.254.146.12,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFA1-RC1,10.254.118.29,,,N/A,None,None,Opengear Infrastructure Manager
,,DDC1-IDFA1-TSV1,10.254.146.106,,,N/A,None,None,Cisco Router
,,DDC1-IDFA1-TSV2,10.254.146.104,,,N/A,None,None,Cisco Router
,,DDC1-IDFA1-TSV3,10.254.146.107,,,N/A,None,None,Cisco Router
,,DDC1-IDFB1-FCS1-1,10.254.146.240,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFB1-FCS2-1,10.254.146.247,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFB1-MSW1,10.254.146.116,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFB1-MSW2,10.254.146.117,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFB1-TSV1,10.254.146.108,,,N/A,None,None,Opengear Infrastructure Manager
,,DDC1-IDFC1-ASW1,10.7.8.1,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD1-FCS10,10.254.146.219,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS11,10.254.146.220,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS1-1,10.254.146.241,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS12,10.254.146.221,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS2-1,10.254.146.248,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS3-1,10.254.146.242,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS4-1,10.254.146.249,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS5-1,10.254.146.243,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS6-1,10.254.146.78,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-FCS9,10.254.146.218,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD1-MSW1,10.254.146.101,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD1-MSW2,10.254.146.102,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD1-MSW3,10.254.146.103,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD1-MSW4,10.254.146.207,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD1-RC1,10.254.118.14,,,N/A,None,None,Opengear Infrastructure Manager
,,DDC1-IDFD1-RC2,10.254.118.17,,,N/A,None,None,Opengear Infrastructure Manager
,,DDC1-IDFD1-TSV2,10.254.146.113,,,N/A,None,None,Cisco Router
,,DDC1-IDFD4-ASW1,10.254.132.134,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD4-ASW2,10.254.132.149,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFD4-ASW3,10.254.146.38,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD4-ASW4,10.254.146.39,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD5-ASW1,10.254.146.17,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD5-ASW2,10.254.146.18,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD6-ASW1,10.254.146.51,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFD6-ASW2,10.254.146.52,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-IDFE1-ASW1,10.7.8.2,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFE1-ASW3,10.254.0.67,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFE1-MSW1,10.254.146.137,,,N/A,None,None,Cisco IOS Switch
,,DDC1-IDFE1-TSV1,10.254.146.109,,,N/A,None,None,Cisco Router
,,DDC1-IDFE1-TSV2,10.254.146.110,,,N/A,None,None,Cisco Router
,,DDC1-IDFE1-TSV3,10.254.146.111,,,N/A,None,None,Cisco Router
,,DDC1-IDFE1-TSV4,10.254.146.119,,,N/A,None,None,Cisco Router
,,DDC1-INTRAF-MRT1,10.2.255.226,,,N/A,None,None,Cisco Meraki Firewall
,,DDC1-IPS-ASW1,10.254.146.138,,,N/A,None,None,Arista Switch
,,DDC1-IPS-ASW2,10.254.146.139,,,N/A,None,None,Arista Switch
,,DDC1-IPS-ASW3,10.254.146.173,,,N/A,None,None,Arista Switch
,,DDC1-IPS-ASW4,10.254.146.174,,,N/A,None,None,Arista Switch
,,DDC1-IPS-DSW1,10.254.146.171,,,N/A,None,None,Arista Switch
,,DDC1-IPS-DSW2,10.254.146.172,,,N/A,None,None,Arista Switch
,,DDC1-ISP-ASW1,10.254.146.169,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ISP-ASW2,10.254.146.170,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ISP-DSW1,10.254.146.167,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ISP-DSW2,10.254.146.168,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ISP-FW1,10.7.30.1,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW1/vsys1,10.7.30.1,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW1/vsys2,10.7.30.1,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW1/vsys4,10.7.30.1,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW2,10.7.30.2,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW2/vsys1,10.7.30.2,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW2/vsys2,10.7.30.2,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW2/vsys4,10.7.30.2,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys1,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys3,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys5,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys6,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys7,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW5/vsys8,10.254.149.28,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys1,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys3,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys5,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys6,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys7,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW6/vsys8,10.254.149.29,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW7,10.7.30.33,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW7/vsys1,10.7.30.33,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW7/vsys2,10.7.30.33,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW7/vsys3,10.7.30.33,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW8,10.7.30.34,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW8/vsys1,10.7.30.34,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-FW8/vsys2,10.7.30.34,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ISP-GRT1,10.254.146.161,,,N/A,None,None,Cisco Router
,,DDC1-ISP-GRT2,10.254.146.162,,,N/A,None,None,Cisco Router
,,DDC1-ISP-N7K1,10.254.146.165,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ISP-N7K2,10.254.146.166,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ITEDMZ-LTM3,10.254.146.15,,,N/A,None,None,F5 Load Balancer
,,DDC1-ITEDMZ-LTM4,10.254.146.16,,,N/A,None,None,F5 Load Balancer
,,DDC1-ITE-DSW1,10.254.146.59,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ITE-DSW2,10.254.146.60,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-ITE-FW1,10.254.149.20,,,N/A,None,None,Palo Alto Firewall
,,DDC1-ITE-FW2,10.254.149.21,,,N/A,None,None,Palo Alto Firewall
,,DDC1-M500-MGT1,10.7.30.30,,,N/A,None,None,Palo Alto Panorama
,,DDC1-MAN-ASW1,10.254.146.7,,,N/A,None,None,Cisco IOS Switch
,,DDC1-MAN-ASW2,10.254.146.8,,,N/A,None,None,Cisco IOS Switch
,,DDC1-MDFA1-AVG1,10.255.132.34,,,N/A,None,None,Cisco Voice Gateway
,,DDC1-MDFA1-RSW1,10.254.146.3,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFA1-RSW2,10.254.146.4,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFA1-VGW1,10.254.132.1,,,N/A,None,None,Cisco Router
,,DDC1-MDFA1-VGW2,10.254.132.2,,,N/A,None,None,Cisco Router
,,DDC1-MDFE1-COR1,10.254.132.222,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFE1-COR2,10.254.132.223,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFE1-DSW1,10.254.132.162,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFE1-DSW2,10.254.132.163,,,N/A,None,None,Cisco Nexus Switch
,,DDC1-MDFE1-ERT1,10.50.66.58,,,N/A,None,None,SilverPeak WAN Optimizer
,,DDC1-MDFE1-ERT2,10.50.64.34,,,N/A,None,None,SilverPeak WAN Optimizer
,,DDC1-MDFE1-GRT1,10.254.146.155,,,N/A,None,None,Cisco Router
,,DDC1-MDFE1-GRT2,10.254.146.156,,,N/A,None,None,Cisco Router
,,DDC1-MDFE1-LSW01,10.254.146.20,,,N/A,None,None,Arista Switch
,,DDC1-MDFE1-LSW02,10.254.146.21,,,N/A,None,None,Arista Switch
