Device,Platform,Record_Type,Command,Inside_Local,Inside_Global,Outside_Local,Outside_Global,Details
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,,,,,Pro  Inside global         Inside local          Outside local         Outside global
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.1,35.166.122.35,,icmp 143.112.197.45:18505  10.50.236.1:18505     35.166.122.35:18505   35.166.122.35:18505
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.1,35.166.122.35,,icmp 143.112.197.45:18183  10.50.236.1:18183     35.166.122.35:18183   35.166.122.35:18183
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.9,34.195.10.82,,icmp 143.112.197.45:17044  10.50.236.9:17044     34.195.10.82:17044    34.195.10.82:17044
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.9,34.195.10.82,,icmp 143.112.197.45:17216  10.50.236.9:17216     34.195.10.82:17216    34.195.10.82:17216
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.25,35.165.173.208,,tcp  143.112.197.45:5152   10.50.236.25:40787    35.165.173.208:23756  35.165.173.208:23756
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.9,34.195.10.82,,udp  143.112.197.45:5093   10.50.236.9:12426     34.195.10.82:12346    34.195.10.82:12346
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.33,34.195.66.235,,tcp  143.112.197.45:5166   10.50.236.33:51467    34.195.66.235:23756   34.195.66.235:23756
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.9,34.195.10.82,,icmp 143.112.197.45:18610  10.50.236.9:18610     34.195.10.82:18610    34.195.10.82:18610
DDC1-USONME-GRT1,cisco_nxos,NAT,show ip nat translations,143.112.197.45,10.50.236.1,35.166.122.35,,icmp 143.112.197.45:17552  10.50.236.1:17552     35.166.122.35:17552   35.166.122.35:17552
